id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	Germ.PGC|Germ.PGC	Germ.PGC|Somatic.OSE	Germ.PGC|Somatic.preGC_IIa	Somatic.OSE|Germ.PGC	Somatic.OSE|Somatic.OSE	Somatic.OSE|Somatic.preGC_IIa	Somatic.preGC_IIa|Germ.PGC	Somatic.preGC_IIa|Somatic.OSE	Somatic.preGC_IIa|Somatic.preGC_IIa	Germ.oogonia_STRA8|Germ.oogonia_STRA8	Germ.oogonia_STRA8|Germ.oogonia_meiotic	Germ.oogonia_STRA8|Somatic.preGC_IIb	Germ.oogonia_meiotic|Germ.oogonia_STRA8	Germ.oogonia_meiotic|Germ.oogonia_meiotic	Germ.oogonia_meiotic|Somatic.preGC_IIb	Somatic.preGC_IIb|Germ.oogonia_STRA8	Somatic.preGC_IIb|Germ.oogonia_meiotic	Somatic.preGC_IIb|Somatic.preGC_IIb	Germ.oocyte|Germ.oocyte	Germ.oocyte|Somatic.granulosa	Somatic.granulosa|Germ.oocyte	Somatic.granulosa|Somatic.granulosa
CPI-SC0240A44BC	RAET1E_NKG2D_II_receptor	simple:Q8TD07	complex:NKG2D_II_receptor	RAET1E		True	False	True	curated	False	Ligand-Receptor	Signaling by Killer Cell Lectin Like Receptor K1	0.0	0.0	0.0	0.0	0.002	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0A30300BD	RAET1G_NKG2D_II_receptor	simple:Q6H3X3	complex:NKG2D_II_receptor	RAET1G		True	False	True	curated	False	Ligand-Receptor	Signaling by Killer Cell Lectin Like Receptor K1	0.0	0.003	0.005	0.0	0.0	0.0	0.0	0.002	0.004	0.0	0.004	0.006	0.0	0.002	0.005	0.0	0.005	0.008	0.005	0.004	0.0	0.0
CPI-SC07B215915	ULBP1_NKG2D_II_receptor	simple:Q9BZM6	complex:NKG2D_II_receptor	ULBP1		False	True	True	curated	False	Ligand-Receptor	Signaling by Killer Cell Lectin Like Receptor K1	0.0	0.004	0.006	0.0	0.004	0.006	0.0	0.002	0.005	0.0	0.0	0.0	0.0	0.003	0.006	0.0	0.006	0.008	0.0	0.0	0.004	0.003
CPI-SC013345660	ULBP2_NKG2D_II_receptor	simple:Q9BZM5	complex:NKG2D_II_receptor	ULBP2		True	False	True	curated	False	Ligand-Receptor	Signaling by Killer Cell Lectin Like Receptor K1	0.0	0.006	0.008	0.0	0.004	0.006	0.0	0.003	0.005	0.0	0.015	0.018	0.0	0.014	0.016	0.0	0.008	0.011	0.004	0.003	0.004	0.003
CPI-SC059E0FCB6	ULBP3_NKG2D_II_receptor	simple:Q9BZM4	complex:NKG2D_II_receptor	ULBP3		False	False	True	curated	False	Ligand-Receptor	Signaling by Killer Cell Lectin Like Receptor K1	0.0	0.006	0.008	0.0	0.01	0.012	0.0	0.014	0.016	0.0	0.005	0.008	0.0	0.002	0.005	0.0	0.007	0.01	0.004	0.003	0.022	0.021
CPI-SC0324880F8	MICA_NKG2D_II_receptor	simple:Q29983	complex:NKG2D_II_receptor	MICA		False	False	True	curated	False	Ligand-Receptor		0.0	0.19	0.192	0.0	0.034	0.036	0.0	0.029	0.031	0.0	0.596	0.598	0.0	0.423	0.426	0.0	0.034	0.036	0.09	0.089	0.046	0.045
CPI-SC00BFC481D	MICB_NKG2D_II_receptor	simple:Q29980	complex:NKG2D_II_receptor	MICB		False	False	True	curated	False	Ligand-Receptor		0.0	0.2	0.202	0.0	0.004	0.006	0.0	0.002	0.004	0.0	0.12	0.123	0.0	0.037	0.04	0.0	0.0	0.0	0.016	0.015	0.0	0.0
CPI-SS075D9B9AD	KNG1_BDKRB1	simple:P01042	simple:P46663	KNG1	BDKRB1	True	False	True	curated	False	Ligand-Receptor	Signaling by Kininogen	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.006	0.0	0.002	0.002	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0
CPI-SS0F21F1570	KNG1_BDKRB2	simple:P01042	simple:P30411	KNG1	BDKRB2	True	False	True	curated	False	Ligand-Receptor	Signaling by Kininogen	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0E9F84F1F	LEFTY1_TDGF1	simple:O75610	simple:P13385	LEFTY1	TDGF1	True	False	False	curated	False	Ligand-Receptor	Signaling by Left-right determination factor	0.032	0.128	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.035	0.116	0.036	0.039	0.12	0.002	0.005	0.086	0.017	0.059	0.016	0.058
CPI-SS033A27302	LEFTY2_TDGF1	simple:O00292	simple:P13385	LEFTY2	TDGF1	True	False	False	curated	False	Ligand-Receptor	Signaling by Left-right determination factor	0.013	0.109	0.19	0.0	0.0	0.0	0.009	0.106	0.187	0.003	0.007	0.088	0.002	0.006	0.087	0.002	0.006	0.087	0.015	0.056	0.0	0.0
CPI-SS025C8F785	CLEC2B_KLRF1	simple:Q92478	simple:Q9NZS2	CLEC2B	KLRF1	False	True	True	curated	False	Ligand-Receptor	Signaling by Leptin	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.016	0.01	0.008	0.009	0.003	0.002	0.008	0.003	0.002	0.002	0.0	0.013	0.0
CPI-SS0E0D00210	LRRC4B_PTPRD	simple:Q9NT99	simple:P23468	LRRC4B	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	0.054	0.122	0.164	0.038	0.106	0.148	0.032	0.1	0.142	0.056	0.042	0.176	0.033	0.019	0.154	0.039	0.025	0.16	0.113	0.162	0.118	0.167
CPI-SS0FA9304CE	LRFN4_PTPRD	simple:Q6PJG9	simple:P23468	LRFN4	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	0.023	0.09	0.133	0.028	0.096	0.138	0.032	0.099	0.142	0.027	0.013	0.148	0.026	0.012	0.146	0.056	0.043	0.177	0.0	0.0	0.131	0.179
CPI-SS081E1A895	LRFN5_PTPRD	simple:Q96NI6	simple:P23468	LRFN5	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	0.01	0.077	0.12	0.01	0.078	0.121	0.01	0.078	0.121	0.021	0.007	0.142	0.021	0.007	0.141	0.019	0.005	0.139	0.0	0.0	0.109	0.157
CPI-SS08069FE13	NLGN3_PTPRD	simple:Q9NZ94	simple:P23468	NLGN3	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.0	0.0	0.0	0.054	0.122	0.164	0.04	0.108	0.15	0.021	0.007	0.142	0.03	0.016	0.151	0.062	0.048	0.182	0.11	0.158	0.159	0.208
CPI-SS0522C3A29	SLITRK1_PTPRD	simple:Q96PX8	simple:P23468	SLITRK1	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.077	0.12	0.02	0.006	0.14	0.019	0.005	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09B85D556	SLITRK2_PTPRD	simple:Q9H156	simple:P23468	SLITRK2	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	0.021	0.088	0.131	0.022	0.09	0.133	0.035	0.103	0.146	0.021	0.007	0.142	0.02	0.006	0.14	0.056	0.042	0.176	0.111	0.159	0.196	0.244
CPI-SS044E718AF	SLITRK3_PTPRD	simple:O94933	simple:P23468	SLITRK3	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	0.0	0.0	0.0	0.01	0.077	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.006	0.14	0.108	0.157	0.11	0.158
CPI-CS0150916A7	LeukotrieneE4_byDPEP1_CYSLTR1	complex:LeukotrieneE4_byDPEP1	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.029	0.028	0.0	1.072	1.071	0.0	1.178	1.178	0.121	0.121	0.0	0.071	0.07	0.0	0.456	0.456	0.0	0.134	0.0	0.028	0.0
CPI-CS048E474A5	LeukotrieneE4_byDPEP2_CYSLTR1	complex:LeukotrieneE4_byDPEP2	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.02	0.019	0.0	0.0	0.0	0.0	0.002	0.001	0.057	0.057	0.0	0.071	0.071	0.0	0.002	0.002	0.0	0.007	0.0	0.0	0.0
CPI-CS0C89AD6A7	LeukotrieneE4_byDPEP3_CYSLTR1	complex:LeukotrieneE4_byDPEP3	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.372	0.372	0.0	0.002	0.002	0.0	0.002	0.002	2.126	2.126	0.0	2.734	2.734	0.0	0.008	0.007	0.0	0.623	0.0	0.008	0.0
CPI-CS066F8F865	LTD4_byGGT1_CYSLTR1	complex:LTD4_byGGT1	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.13	0.13	0.0	0.005	0.004	0.0	0.031	0.03	0.022	0.022	0.0	0.016	0.016	0.0	0.02	0.02	0.0	0.054	0.0	0.01	0.0
CPI-CS0C4ABE334	LeukotrieneD4_byGGT1_CYSLTR1	complex:LeukotrieneD4_byGGT1	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.01	0.01	0.0	0.005	0.004	0.0	0.031	0.03	0.004	0.003	0.0	0.004	0.003	0.0	0.02	0.02	0.0	0.004	0.0	0.01	0.0
CPI-CS0215886EA	LTC4_byLTC4S_CYSLTR1	complex:LTC4_byLTC4S	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.008	0.008	0.0	0.11	0.11	0.0	0.028	0.027	0.008	0.008	0.0	0.003	0.003	0.0	0.024	0.024	0.0	0.009	0.0	0.045	0.0
CPI-CS0C1CAC8F7	LipoxinA4_byALOX12_CYSLTR1	complex:LipoxinA4_byALOX12	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.073	0.072	0.0	0.002	0.002	0.0	0.0	0.0	0.01	0.01	0.0	0.011	0.01	0.0	0.002	0.002	0.0	0.005	0.0	0.004	0.0
CPI-CS0891F5216	LeukotrieneC4_byLTC4S_CYSLTR1	complex:LeukotrieneC4_byLTC4S	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.002	0.002	0.0	0.002	0.001	0.0	0.0	0.0	0.003	0.003	0.0	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0
CPI-CS087E1C654	LipoxinA4_byALOX5_CYSLTR1	complex:LipoxinA4_byALOX5	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.002	0.002	0.0	0.002	0.001	0.0	0.0	0.0	0.003	0.003	0.0	0.002	0.002	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0
CPI-CS08225A985	LeukotrieneE4_byDPEP1_CYSLTR2	complex:LeukotrieneE4_byDPEP1	simple:Q9NS75		CYSLTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.032	0.032	0.0	1.074	1.074	0.0	1.181	1.18	0.126	0.12	0.126	0.076	0.07	0.076	0.462	0.455	0.461	0.0	0.191	0.0	0.085
CPI-CS058C0BB88	LeukotrieneE4_byDPEP2_CYSLTR2	complex:LeukotrieneE4_byDPEP2	simple:Q9NS75		CYSLTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.022	0.022	0.0	0.0	0.0	0.0	0.005	0.004	0.062	0.056	0.062	0.077	0.07	0.076	0.008	0.001	0.007	0.0	0.064	0.0	0.0
CPI-CS0208210C9	LeukotrieneE4_byDPEP3_CYSLTR2	complex:LeukotrieneE4_byDPEP3	simple:Q9NS75		CYSLTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.375	0.374	0.0	0.005	0.005	0.0	0.006	0.005	2.132	2.126	2.132	2.74	2.734	2.739	0.013	0.007	0.012	0.0	0.68	0.0	0.065
CPI-CS0E87D8FFA	LTD4_byGGT1_CYSLTR2	complex:LTD4_byGGT1	simple:Q9NS75		CYSLTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.134	0.133	0.0	0.008	0.007	0.0	0.034	0.034	0.028	0.021	0.027	0.022	0.015	0.021	0.026	0.019	0.025	0.0	0.111	0.0	0.066
CPI-CS0A0F970F5	LeukotrieneD4_byGGT1_CYSLTR2	complex:LeukotrieneD4_byGGT1	simple:Q9NS75		CYSLTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.013	0.013	0.0	0.008	0.007	0.0	0.034	0.034	0.009	0.003	0.008	0.009	0.003	0.009	0.026	0.019	0.025	0.0	0.061	0.0	0.066
CPI-CS077A507B6	LTC4_byLTC4S_CYSLTR2	complex:LTC4_byLTC4S	simple:Q9NS75		CYSLTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.011	0.011	0.0	0.113	0.112	0.0	0.03	0.03	0.014	0.008	0.014	0.009	0.002	0.008	0.03	0.023	0.029	0.0	0.065	0.0	0.102
CPI-CS01FC3CF4D	LeukotrieneC4_byLTC4S_CYSLTR2	complex:LeukotrieneC4_byLTC4S	simple:Q9NS75		CYSLTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.005	0.005	0.0	0.005	0.004	0.0	0.0	0.0	0.008	0.002	0.008	0.008	0.001	0.007	0.0	0.0	0.0	0.0	0.063	0.0	0.0
CPI-CS0957C3253	LeukotrieneD4_byGGT1_GPR17	complex:LeukotrieneD4_byGGT1	simple:Q13304		GPR17	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.0	0.02	0.0	0.002	0.0	0.008	0.0
CPI-CS0AFE4D0CB	LeukotrieneB4_byLTA4H_GPR17	complex:LeukotrieneB4_byLTA4H	simple:Q13304		GPR17	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.226	0.0	0.0	0.189	0.0	0.0	0.304	0.0	0.234	0.0	0.448	0.0
CPI-CS00DCACEEE	LeukotrieneC4_byLTC4S_GPR17	complex:LeukotrieneC4_byLTC4S	simple:Q13304		GPR17	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0
CPI-CS047D9C0D7	LeukotrieneB4_byLTA4H_LTB4R	complex:LeukotrieneB4_byLTA4H	simple:Q15722		LTB4R	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.702	0.692	0.692	0.598	0.588	0.588	0.466	0.454	0.456	0.238	0.241	0.23	0.202	0.205	0.193	0.317	0.319	0.308	0.255	0.24	0.468	0.453
CPI-CS0A5B6BD7A	12oxoLeukotrieneB4_byPTGR1_LTB4R	complex:12oxoLeukotrieneB4_byPTGR1	simple:Q15722		LTB4R	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	1.013	1.002	1.002	0.54	0.528	0.53	0.356	0.346	0.346	0.474	0.476	0.465	0.372	0.374	0.363	0.294	0.296	0.284	0.776	0.761	0.149	0.134
CPI-CS0F5B070C5	LeukotrieneB4_byLTA4H_LTB4R2	complex:LeukotrieneB4_byLTA4H	simple:Q9NPC1		LTB4R2	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.689	0.69	0.69	0.585	0.586	0.586	0.452	0.453	0.453	0.237	0.233	0.228	0.201	0.197	0.192	0.316	0.312	0.307	0.235	0.234	0.449	0.448
CPI-CS04A56D5BE	12oxoLeukotrieneB4_byPTGR1_LTB4R2	complex:12oxoLeukotrieneB4_byPTGR1	simple:Q9NPC1		LTB4R2	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.999	1.0	1.0	0.526	0.527	0.526	0.343	0.344	0.344	0.472	0.469	0.464	0.37	0.366	0.361	0.292	0.288	0.283	0.756	0.755	0.13	0.129
CPI-SS02C509183	LTB_LTBR	simple:Q06643	simple:P36941	LTB	LTBR	False	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.012	0.034	0.031	0.01	0.033	0.03	0.009	0.032	0.028	0.008	0.03	0.036	0.012	0.035	0.041	0.006	0.029	0.036	0.015	0.199	0.0	0.0
CPI-SS0859C173B	TNFSF14_LTBR	simple:O43557	simple:P36941	TNFSF14	LTBR	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.0	0.0	0.0	0.009	0.032	0.028	0.011	0.034	0.03	0.0	0.0	0.0	0.01	0.033	0.039	0.008	0.031	0.038	0.0	0.0	0.014	0.198
CPI-CS016CDFE07	5SHpETE_byALOX5_OXER1	complex:5SHpETE_byALOX5	simple:Q8TDS5		OXER1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.003	0.004	0.002	0.003	0.003	0.001	0.0	0.0	0.0	0.003	0.004	0.004	0.002	0.003	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0
CPI-SS07EF9679E	XCL1_XCR1	simple:P47992	simple:P46094	XCL1	XCR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lymphotactin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0E4245B64	LPAR1_ADGRE5	simple:Q92633	simple:P48960	LPAR1	ADGRE5	True	True	True	curated	False	Receptor-Receptor	Signaling by Lysophosphatidic acid receptor	0.104	0.017	0.05	0.131	0.044	0.077	0.106	0.019	0.052	0.119	0.049	0.065	0.11	0.04	0.056	0.098	0.028	0.044	0.046	0.07	0.036	0.061
CPI-SS076F4624B	LPAR2_ADGRE5	simple:Q9HBW0	simple:P48960	LPAR2	ADGRE5	True	True	True	curated	False	Receptor-Receptor	Signaling by Lysophosphatidic acid receptor	0.524	0.438	0.47	0.221	0.134	0.167	0.254	0.167	0.2	0.238	0.169	0.184	0.123	0.053	0.069	0.22	0.15	0.166	0.032	0.056	0.06	0.085
CPI-SS046661AE7	LPAR3_ADGRE5	simple:Q9UBY5	simple:P48960	LPAR3	ADGRE5	True	True	True	curated	False	Receptor-Receptor	Signaling by Lysophosphatidic acid receptor	0.118	0.031	0.064	0.104	0.018	0.05	0.099	0.012	0.045	0.105	0.035	0.051	0.095	0.026	0.041	0.096	0.026	0.042	0.034	0.059	0.025	0.049
CPI-SS0118D1B89	THY1_ADGRE5	simple:P04216	simple:P48960	THY1	ADGRE5	True	False	True	curated	False	Adhesion-Adhesion	Adhesion by antigen THY1	1.611	1.524	1.557	0.142	0.055	0.088	0.11	0.023	0.056	0.161	0.091	0.107	0.132	0.062	0.078	0.101	0.031	0.047	0.118	0.143	0.06	0.085
CPI-CS0D69D106B	integrin_aVb1_complex_ADGRE5	complex:integrin_aVb1_complex	simple:P48960		ADGRE5	True	False	True	curated	True	Ligand-Receptor	Signaling by Integrin	0.14	0.054	0.087	0.27	0.183	0.216	0.183	0.096	0.129	0.107	0.037	0.053	0.185	0.115	0.131	0.236	0.166	0.182	0.161	0.186	0.382	0.407
CPI-CS056DF06D6	integrin_aVb3_complex_ADGRE5	complex:integrin_aVb3_complex	simple:P48960		ADGRE5	True	False	True	curated	True	Ligand-Receptor	Signaling by Integrin	0.132	0.046	0.078	0.1	0.013	0.046	0.0	0.0	0.0	0.102	0.032	0.048	0.09	0.02	0.036	0.09	0.02	0.036	0.023	0.048	0.0	0.0
CPI-SS061A7E099	CD55_ADGRE5	simple:P08174	simple:P48960	CD55	ADGRE5	True	True	True	curated	False	Ligand-Receptor		0.608	0.521	0.554	0.488	0.402	0.434	0.299	0.212	0.245	0.768	0.698	0.714	1.068	0.998	1.014	0.364	0.295	0.31	0.368	0.393	1.162	1.186
CPI-SS0305C793D	SFTPD_ADGRE5	simple:P35247	simple:P48960	SFTPD	ADGRE5	True	False	True	curated	False	Ligand-Receptor		0.0	0.0	0.0	0.127	0.04	0.073	0.112	0.026	0.058	0.092	0.022	0.038	0.09	0.02	0.036	0.11	0.041	0.057	0.026	0.05	0.029	0.054
CPI-CS05C6F5BDD	Melatonin_byASMT_MTNR1A	complex:Melatonin_byASMT	simple:P48039		MTNR1A	True	False	True	curated	False	Ligand-Receptor	Signaling by Melatonin	0.0	0.018	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0
CPI-SS012AFC842	MDK_ALK	simple:P21741	simple:Q9UM73	MDK	ALK	True	False	True	curated	False	Ligand-Receptor	Signaling by Midkine	7.385	7.382	7.382	8.25	8.246	8.246	2.984	2.98	2.98	17.95	17.952	0.0	9.864	9.867	0.0	0.764	0.766	0.0	1.443	1.44	1.96	1.956
CPI-SS05D7900BF	PTN_ALK	simple:P21246	simple:Q9UM73	PTN	ALK	True	False	True	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.35	0.347	0.347	0.569	0.565	0.565	0.478	0.474	0.474	0.045	0.048	0.0	0.03	0.033	0.0	0.796	0.799	0.0	0.043	0.04	0.485	0.482
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Midkine	7.383	7.404	7.387	8.247	8.268	8.252	2.982	3.002	2.986	17.95	17.95	17.956	9.865	9.865	9.871	0.764	0.764	0.77	1.441	1.447	1.957	1.963
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.348	0.369	0.352	0.567	0.588	0.571	0.476	0.496	0.48	0.046	0.045	0.052	0.031	0.031	0.037	0.797	0.797	0.804	0.041	0.047	0.483	0.489
CPI-SC0C68323CF	AMH_MIS_receptor_3	simple:P03971	complex:MIS_receptor_3	AMH		True	False	True	curated	False	Ligand-Receptor	Signaling by Muellerian-inhibiting factor	0.032	0.056	0.036	0.028	0.052	0.033	0.038	0.062	0.043	0.035	0.029	0.025	0.034	0.027	0.024	0.034	0.028	0.024	0.018	0.027	0.078	0.086
CPI-SC077F81192	AMH_MIS_receptor_1	simple:P03971	complex:MIS_receptor_1	AMH		True	False	True	curated	False	Ligand-Receptor	Signaling by Muellerian-inhibiting factor	0.032	0.148	0.112	0.028	0.144	0.108	0.038	0.154	0.118	0.038	0.039	0.135	0.037	0.038	0.134	0.037	0.038	0.134	0.021	0.175	0.08	0.234
CPI-SC09C7944F4	AMH_MIS_receptor_2	simple:P03971	complex:MIS_receptor_2	AMH		True	False	True	curated	False	Ligand-Receptor	Signaling by Muellerian-inhibiting factor	0.032	0.057	0.058	0.028	0.054	0.054	0.038	0.064	0.064	0.038	0.039	0.172	0.037	0.038	0.171	0.037	0.038	0.172	0.021	0.23	0.08	0.29
CPI-SS042FCC9BE	NECTIN3_PVR	simple:Q9NQS3	simple:P15151	NECTIN3	PVR	True	False	True	curated	False	Ligand-Receptor	Signaling by Nectin	0.246	0.162	0.163	0.187	0.103	0.103	0.182	0.098	0.098	0.368	0.361	0.326	0.436	0.429	0.394	0.172	0.165	0.129	0.159	0.265	0.098	0.205
CPI-SS04F1CBF06	NTN1_DCC	simple:O95631	simple:P43146	NTN1	DCC	True	False	True	curated	False	Ligand-Receptor	Signaling by Netrin	0.006	0.006	0.0	0.006	0.005	0.0	0.006	0.006	0.0	0.01	0.008	0.007	0.011	0.01	0.008	0.041	0.039	0.038	0.345	0.077	0.353	0.085
CPI-SS0E3C09735	NTN1_DSCAM	simple:O95631	simple:O60469	NTN1	DSCAM	True	False	False	curated	False	Ligand-Receptor	Signaling by Netrin	0.0	0.006	0.006	0.0	0.006	0.006	0.0	0.006	0.006	0.006	0.006	0.008	0.008	0.007	0.009	0.037	0.037	0.038	0.091	0.0	0.099	0.0
CPI-SS0503D8A55	NTN1_UNC5A	simple:O95631	simple:Q6ZN44	NTN1	UNC5A	True	False	True	curated	False	Ligand-Receptor	Signaling by Netrin	0.01	0.01	0.012	0.01	0.009	0.012	0.01	0.01	0.012	0.009	0.0	0.022	0.01	0.0	0.023	0.04	0.0	0.053	0.078	0.077	0.086	0.085
CPI-SS00C9DE87A	NTN1_UNC5B	simple:O95631	simple:Q8IZJ1	NTN1	UNC5B	True	False	True	curated	False	Ligand-Receptor	Signaling by Netrin	0.052	0.079	0.329	0.052	0.078	0.328	0.052	0.079	0.329	0.025	0.081	0.586	0.026	0.083	0.587	0.056	0.112	0.616	0.095	0.117	0.103	0.126
CPI-SS0C72D53A2	NTN4_UNC5B	simple:Q9HB63	simple:Q8IZJ1	NTN4	UNC5B	True	False	True	curated	False	Ligand-Receptor	Signaling by Netrin	0.076	0.102	0.352	0.054	0.08	0.33	0.088	0.114	0.364	0.061	0.118	0.622	0.03	0.086	0.59	0.044	0.101	0.605	0.059	0.082	0.079	0.102
CPI-SS07660BCA2	NTN1_UNC5C	simple:O95631	simple:O95185	NTN1	UNC5C	True	False	True	curated	False	Ligand-Receptor	Signaling by Netrin	0.006	0.008	0.006	0.006	0.007	0.006	0.006	0.008	0.006	0.014	0.007	0.008	0.015	0.009	0.009	0.045	0.038	0.038	0.196	0.082	0.204	0.09
CPI-SS0BA4E3F44	NTN4_UNC5D	simple:Q9HB63	simple:Q6UXZ4	NTN4	UNC5D	True	False	True	curated	False	Ligand-Receptor	Signaling by Netrin	0.034	0.068	0.126	0.012	0.046	0.104	0.046	0.08	0.138	0.044	0.046	0.133	0.012	0.014	0.101	0.027	0.029	0.116	0.062	0.189	0.081	0.209
CPI-SS085E14488	NRXN1_DAG1	simple:Q9ULB1	simple:Q14118	NRXN1	DAG1	True	False	True	curated	False	Receptor-Receptor	Signaling by Neurexin	0.396	0.182	0.11	0.415	0.202	0.13	0.399	0.186	0.114	0.252	0.197	0.188	0.324	0.269	0.26	0.235	0.18	0.171	0.307	0.843	0.08	0.616
CPI-SS0193D81E1	NRXN2_DAG1	simple:P58401	simple:Q14118	NRXN2	DAG1	True	False	True	curated	False	Receptor-Receptor	Signaling by Neurexin	0.698	0.485	0.413	0.531	0.318	0.246	0.536	0.324	0.251	0.334	0.278	0.27	0.466	0.41	0.402	0.365	0.31	0.301	0.1	0.636	0.162	0.698
